,Event.Id,Investigation.Type,Event.Date,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
84601,20190727X52630,Accident,2019-07-27,Non-Fatal,Substantial,Helicopter,BELL,206,No,0.0,1.0,0.0,0.0
84605,20190728X32331,Accident,2019-07-27,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,1.0,0.0,0.0
84613,20190730X15341,Accident,2019-07-28,Non-Fatal,Substantial,Helicopter,MD HELICOPTER,369,No,0.0,0.0,2.0,0.0
84626,20190801X93039,Accident,2019-07-30,Fatal,Substantial,Helicopter,BELL,47G,No,1.0,0.0,1.0,0.0
84628,20190731X04607,Accident,2019-07-31,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,1.0,0.0,0.0
84634,20191003X81449,Accident,2019-08-01,Non-Fatal,Substantial,Helicopter,HUGHES,369,No,0.0,0.0,0.0,2.0
84635,20190802X91659,Accident,2019-08-02,Non-Fatal,Substantial,Helicopter,ROBINSON,R66,No,0.0,0.0,0.0,1.0
84639,20190823X25901,Accident,2019-08-02,Fatal,No Damage,Helicopter,ROBINSON,R44,No,3.0,0.0,0.0,0.0
84643,20190803X74951,Accident,2019-08-03,Non-Fatal,Substantial,Helicopter,ROBINSON HELICOPTER COMPANY,R44 II,No,0.0,1.0,0.0,0.0
84685,20190819X23813,Accident,2019-08-10,Non-Fatal,Substantial,Helicopter,BELL,206,No,0.0,0.0,0.0,1.0
84692,20190811X55052,Accident,2019-08-11,Non-Fatal,Substantial,Helicopter,SCHWEIZER,269C,No,0.0,1.0,1.0,0.0
84716,20190816X23745,Accident,2019-08-16,Non-Fatal,Substantial,Helicopter,BELL,206,No,0.0,2.0,0.0,0.0
84730,20190819X10929,Accident,2019-08-19,Fatal,Destroyed,Helicopter,SHIRLEY CARL,SPORTCOPTER VORTEX,No,1.0,0.0,0.0,0.0
84741,20190820X51214,Accident,2019-08-20,Non-Fatal,Substantial,Helicopter,BELL,47G,No,0.0,0.0,1.0,0.0
84743,20190827X94528,Accident,2019-08-20,Fatal,Substantial,Helicopter,AGUSTA,A109,No,3.0,0.0,0.0,0.0
84746,20190821X01127,Accident,2019-08-21,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,2.0,1.0,0.0
84775,20190827X73930,Accident,2019-08-24,Fatal,Substantial,Helicopter,ROTORWAY,EXEC 162F,Yes,1.0,0.0,1.0,0.0
84780,20190826X55246,Accident,2019-08-25,Non-Fatal,Substantial,Helicopter,HUGHES,269A,No,0.0,0.0,0.0,2.0
84782,20190826X90719,Accident,2019-08-25,Fatal,Destroyed,Helicopter,BELL,206,No,7.0,0.0,0.0,0.0
84784,20190912X84736,Accident,2019-08-25,Fatal,Destroyed,Helicopter,ROBINSON,R44,No,3.0,1.0,0.0,0.0
84788,20190903X91327,Accident,2019-08-26,Non-Fatal,No Damage,Helicopter,ROBINSON,R44,No,0.0,0.0,2.0,1.0
84791,20190828X75204,Accident,2019-08-27,Non-Fatal,Substantial,Helicopter,BELL,206,No,0.0,0.0,0.0,2.0
84798,20190828X74159,Accident,2019-08-28,Non-Fatal,Substantial,Helicopter,BELL,47G,No,0.0,0.0,0.0,2.0
84816,20191202X92851,Accident,2019-08-31,Fatal,Destroyed,Helicopter,AIRBUS,A350,No,1.0,0.0,0.0,5.0
